,conteudo
2063,up
2064,acho alm prova presencial tambm questo professor disposio responder dvidas alunos apesar ead so poucos interessam falar professor professor capaz atender alunos turma tambm acho deveriam aumentar nmero j alunos regulares regulares esto atrasando conta indeferimentos vi caso aluno precisava matrias formar recusado plicado situao
2065,up
2066,up
2067,dificuldade enorme pra conseguir pagar so precisam abir turmas vagas
2068,formada matemtica tentando realizar aproveitamento disciplinas matrias bti ementas universidade formei ufrpe ufrn preciso enviar ementas individualmente consta assinatura digital coordenador verificada veracidade link documentos porm envio ementas esto retornando escrito ementas precisam assinatura
2069,ol dvida aproveitamentos entrei secretaria email rpidos responder tambm telefone telefone ramal sorte
2070,inscries feitas diretamente site segue link
2071,up
2072,at dia vaga estgio aberta preciso entender at dia esperar resposta candidatura fiz
2073,informado frum coordenador giro aberta turma clculo diferencial integral professor samyr horrio m rematrcula devido choque horrios turma aberta alguma atualizao turma aberta
2074,giro pessoalmente hoje manh questionei disse abrir vou matricular turma fica olhando
2075,ol pessoal acabamos criar turma est disponvel j rematricula hoje amanh
2076,
2077,existe possibilidade abrir turmas rematrcula condies formar semestre massa indeferimentos
2078,espero viu indeferido ultimo perodo pra formar conseguir rematrcula alguma pedir extenso pra pagar s disciplina prximo semestre
2079,plicado indeferido plicado viu
2080,semestre seguido sendo indeferido matrias pagar matria obrigatoria curso
2081,up
2082,up
2083,up
2084,mesma consegui deferimento nica disciplina matriculei esto entrando alunos via sisu perfil instagram metrpole digital ento bate mnimo desalento apesar vejo vontade pessoal administrativo curso louvvel s eo sentir tambm problema acima nvel reitoria repito sentimento algum demanda ns discentes organizada junto daal tambm ouvida l escales superiores imd at reforar requisies administrativo curso algum respeito d luz publicao
2085,entram discentes imaginar mnimo saram problema piorar ocorreu algum diga
2086,j li tpicos simplesmente cortar nmero vagas existe proibitivo mec s contratao massiva professores aumentar nmero turmas empecilho devido verbas coordenador curso outro tpico curto mdio prazo panorama promissor discentes ti
2087,semestre sendo indeferido mesmas matrias plicado lp alm poucas vagas semestre passado turma cancelada
2088,semestre seguido indeferido arquitetura turma ead
2089,ficarmos s externando fruns ouvidos representao junto daal levarmos caso reitoria j chega ningum aguenta indeferimento lotao turma campanheiro falou acima semestres indeferido sendo atrasado conta problemas h tempos reitoria alguma consertar curso professore turmas imd j
2090,anos tentando pagar desenvolvimento sistemas web i indeferida semestre alta procura s turma
2091,up
2092,up
2093,formar curso verdadeira misso impossvel curso tecnologia deveria muitas opes disciplinas optativas vagas facilitar pra galera h capacidade fsica prdio atender tantos alunos
2094,poucas saidas muitas entradas poucos professores poucas turmas impossivel formar certo t plicado to esperanas formar
2095,indeferido disciplinas j esperanas formar semestre passado mesma s consegui vaga extraordinria olhe l
2096,condies gente conseguir formar
2097,up
2098,precisando s obrigatrias pra formar deferido claro rs
2099,h dficit ofertas turmas principalmente noturno realizamos matriculas so indeferidas difcil conseguir concluir curso
2100,up
2101,up
2102,up
2103,up
2104,alterar lei mec limita turmas ead pra botar extras curso equipe consegue bolar estrutura ead presencial faa certo
2105,plicado muita disciplina s oferta vagas vagas porm solicitaes realmente plicado conclurmos curso sequer conseguimos seguir ordem semestres corretamente d pra montar horrio decente picotado oferta demanda imd secretaria manifestou alguma soluo
2106,j conseguem abrir turmas deveriam aumentar vagas turmas
2107,turmas idas eadpresencial
2108,concordo
2109,organizadora frum bioinformtica natal nbf diretoria centro multidisciplinar bioinformtica biome universidade federal rio norte ufrn esto organizando edio evento acontecer cidade natal maro ano tema bioinformtica mundo pspandmico pretendemos enfatizar importncia rea gerao conhecimento resoluo problemas sade meioambiente apresentando recentes avanos proporcionados tcnicas abordagens bioinformtica cincia dados inteligncia artificial evento oferecer discusses perspectivas avanos pesquisa bioinformtica palestras painis fruns proporcionando ambiente aberto principais cientistas internacionais nacionais rea possam estudantes empresrios formuladores polticas informaes evento link inscries
2110,up
2111,secretaria funcionar dia s horas
2112,organizadora frum bioinformtica natal nbf diretoria centro multidisciplinar bioinformtica biome ufrn esto organizando edio evento acontecer cidade natal maro ano tema bioinformtica mundo pspandmico pretendemos enfatizar importncia rea gerao conhecimento resoluo problemas sade meioambiente apresentando recentes avanos resultantes tcnicas abordagens bioinformtica cincia dados inteligncia artificial evento oferecer discusses situao atual perspectivas bioinformtica palestras painis fruns alm apresentao psteres alunos vamos promover ambiente aberto estudantes pesquisadores possam cientistas internacionais nacionais empresrios formuladores polticas ano novidade junte pesquisa colegas ganhe desconto inscrio proveitoso trocar ideias pesquisa fortalecer rede colaboraes informaes evento link inscries
2113,programa educao tutorial curso cincia computao petccufrn oferecer dias fevereiro maro cursos vero presenciais introduo linguagem python h s h introduo latex h s h inscries estaro abertas durante perodo via inscries petcc detalhes cursos encontrados site instagram petcc curso oferecer total vagas
2114,conta quantas plementares
2115,cursos vo horas carga horria
2116,pessoal dimap bcc promovem feira dia fevereiro s h apresentao transmisso direta via youtube entrada direta bcc via sisu vocs esto convidados participar dimap canal youtube bcc evento associado mostra profisses ufrn divulgao junto alunos ensino mdio vo inscries sisu detalhes abrao prolo
2117,pessoal criamos canais you tube bcc dimap inscrevamse assistam vdeos iniciais especialmente bcc fixarmos inscritos podermos lives simples via celular inscrio canal bcc clique npo canal dimap clique assistir vdeos shorts lives bcc fixar nmero inicial inscritos lives celular short apresentao vdeo joo paulo live canal dimap s short semana faremos live apresentao bcc divulgaremos eve abrao prolo
2118,verificado alta incidncia inscries matrias relacionadas pes jogos motores jogos digitais imd fundamentos jogos digitais imd gostaria possvel abertura turmas matrias j motores matria chave conseguir pes relacionada jogos fundamentos jogos inscries
2119,gostaria semestre est sendo excepcionalmente ofertas matrias jogos turma fundamentos jogos digitais j matria obrigatria conseguir pes jogos concorrncia nela alta
2120,up
2121,up est difcil pes jogos conheo beneficiariam turmas
2122,up
2123,up
2124,up
2125,up
2126,up
2127,up
2128,up
2129,up
2130,up
2131,abertura turmas talo voc confundiu matrias obrigatrias pes jogos so mecnicas balanceamento jogos motores jogos digitais fundamentos
2132,up
2133,up
2134,up
2135,up
2136,turmas rematrcula matrias jogos so disciplinas apresentaram procura vagas joo ansio j falou mensagem alm so disciplinas muita frequncia motores jogos digitais imd obrigatria pes jogos digitais ofertada ano galera fica vaga acaba tendo esperar ano conseguir vaga
2137,alguma posio algum coordenao jogos algum professor
2138,up
2139,up pes jogos nvel nfase acabamos encontrando situao corriqueira repetente alunos tentam ingressar turmas ausncia vagas suficientes turmas ausncia turmas si contando problemas escassez possibilidades horrio acabam postergando prximo semestre tambm apresenta garantias melhoras sugeriria abertura gradual salas tambem alterao elevao patamar atual pes rea jogos digitais afim garantir promisso mtuo curso alunos cursar atenciosamente luiz mariz
2140,up
2141,up
2142,dito luiz mariz pes demanda turmas suprida demanda realmente necessita matrias relacionadas pes vrias vagas interesse turmas quase lotam
2143,ol pessoal conforme j informado outro tpico frum nmero ofertas pes jogos bti ficou afetado longo pandemia semestre fazendo esforo reativar pes sentido ofertando turmas j considervel acontecer professores jogos entraram acordo ofertar turma pes fazendo extrapolar carga horria tambm existe forte demanda destes professores bti pes curso tcnico cursos psgraduao esto assumindo carga horria acima esperado pes jogos possa reativado infelizmente condies abrir turmas jogos semestre apesar demanda turmas motores principalmente fundamentos terem sido altas
2144,up
2145,fiz matrcula turma clculo i porm saiu resultado processamento matrcula notei presente lista disciplinas olhei provante matrcula guardado vi nmero saiu resultado provante constava matriculei turma resultado l procurei turmas tambm existe queria turma quantas turmas vo ofertadas semestre clculo i obrigatria curso
2146,postado gustavo girao barreto silva prezados conflito surgiu ltima relao horrios professor samyr virtude mudar horrio turma clculo imd turno diurno turma encontrava horrio t excluda efetuado processamento matrcula durante rematrcula aberta turma professor samyr horrio m pedimos desculpas transtorno
2147,respostas
2148,semestre anterior turma pl cancelada deferido matria espero abram turmas prometido semestre passado
2149,lp
2150,tambm mesma situao espero coordenao consiga resolver basicamente ano jogado conta materia
2151,aproveitando tpico turma lp noite professor definir professor mesma semestre passado
2152,up
2153,gostaria somar solicitao colega encontro mesma situao turma professor
2154,ola pessoal situao professor definir aguardo contratao professor expectativa nao demore alm semestre relao abertura turmas lp vamos atender demanda semestre abrese janela criao turmas
2155,deixe acontecer mesma ocorreu semestre passado formar ano s vou formar teoria prejuzo dinheiro
2156,dia pessoal tambm mesma situao semestre passado turma lp cancelada semestre indeferido matria fica plicado curso
2157,up
2158,tambm turma cancelada semestre passado fiquei prejudicado novamente semestre
2159,mesma situo vou rematricula ja semestre tentando pagar lp
2160,existe possibilidade aberta turma lp turno integral vi indeferidos ciclo acaba atrasando
2161,carga horria horas dirias horas semanais remunerao bolsa estgio r auxlio transporte r totalizando r atribuies cargo estagirio previdncia social atividades serem suporte servidores terceirizados inss manuteno putadores impressoras configurao instalao ativos rede realizao instalao estaes trabalho servidores datacenter realizao backups implementaes sistemas utilizados previdncia conhecimento programao frontend trabalho trabalho unidade gerncia natal localizada rua apodi tirol natal rn unidade gexnat requisitos estudante nvel superior proativo interesse aprender est ltimo semestre curso vantagens seguro vida treinamentos internos trabalho descontrado inscries inscries sero feitas mediante envio email ttulo vaga estgio ti corpo pleto semestre telefone currculo disponibilidade horrio curso email etapas processo inscries rh equipe ti teste terico teste prtico resultado dvidas dvidas vaga etapas entrar contato via email sendo enviado
2162,instituio defensoria pblica rn estgio rua srgio severo lagoa natalrn cep informaes vaga bolsa r auxlio transporte at r horrio estgio s prrequisitos cursando perodo curso bacharelado tecnologia informao atividades serem desenvolvidas manuteno tcnica putadores prestar suporte tcnico usurios realizar instalao configurao softwares realizar anlise sistemas pedimos discente interessado estgio envie currculo histrico acadmico seguinte email seguinte assunto currculo estgio tecnologia informao ufrn at dia caso oa discente receba nenhum contato at dia significa classificadoa prxima etapa processo entrevista
2163,ramo empresa comrcio atacadista lcool carburante biodiesel gasolina derivados petrleo exceto ificantes realizado transportador retalhista cursos informtica sistemas informao engenharia computao software atividades execuo monitoramento backups acompanhamento supervisionado identificao necessidade dados serem levantadossuporte usurios rea ti instalao configurao servidores planejadas supervisor requisitos semestre estudo at semestre concluso semestre at semestre desejvel conhecimentos bsico redes tcpip configuraes routing switching cisco pacote office elaborao fluxos diagramas atravs visiosistemas operacionais windows linux windows server ad dhcp dns benefcios bolsa auxlio r ms auxlio transporte restaurante possibilidade prorrogao efetivao horrio estgio sextafeira h s h natal rn anote cdigo ligue
2164,prezados conflito surgiu ltima relao horrios professor samyr virtude mudar horrio turma clculo imd turno diurno turma encontrava horrio m excluda efetuado processamento matrcula durante rematrcula aberta turma professor samyr horrio m pedimos desculpas transtorno
2165,corrigindo turma excluda encontravase horrio t
2166,interessante pedidos aproveitamento estudos analisados incio aulas ltimo pedido levou quase deferido daria chance matricular matrias esto trancadas prrequisitos esto anlise rematricula disponvel
2167,ms espera
2168,j mandei at email acho semana passada implorando pra analisarem pedido justamente pra matricular rematrcula extraordinria s vo ok igual fizeram semestre passado esperana
2169,comigo jeito analisar disciplina
2170,retiro disse anteriormente j resolveram
2171,vaga trabalho nvel tcnico superior atualmente vagas aberto suporte tcnico suporte segue informaes vagas tsmx salrio base binar possibilidade gratificao aps ano alimentaorefeio r benefcio transporte r modalidades carto nibus vt carto flash mobilidade plano sade humana premium aps benefcio garagem relao proposta salrio base informamos valores salrios candidatos etapas processo seletivo depender perfil identificado teste prtico aplicado
2172,inscreve identifiquei link
2173,feita inscrio
2174,ltima vi vaga tsmx email whatsapp
2175,t certinho email whatsapp
2176,interesse tambm enviar email secretaria bti enviaremos folder seleo
2177,prezados visando facilitar matrcula turmas edb lp resolvemos excluir cdigo imd transformar turmas cdigo dim desejam cursar edb procurar lista disciplinas equivalentes cdigo dim caso lp cdigo dim vocs vero disciplinas corequisito mtuo j haviam feito solicitao turmas imd peo faam solicitao turmas cdigo dim
2178,obg prof giro
2179,professor giro ajudou tima soluo
2180,caso j pagou edb pagar lp pagar edb
2181,
2182,professor
2183,h muitas solicitaes turmas edb ofertadas dim sendo necessrio possivel
2184,tambm creio necessria turma visto solicitaes excedem vagas pessoas
2185,vamos analisar caso pessoal provavelmente s definio rematricula
2186,prof giro semestres anteriores disciplinas ofertadas turmas alunos possvel expandir vagas evitar indeferimentos matrcula so corequisitos dim linguagem programao ii turma capacidade alunos totais solicitaes realizadas matrcula dim estruturas dados bsicas ii turma capacidade alunos totais solicitaes realizadas matrcula
2187,acho precisaria vagas visto turma edb cerca solicitaes
2188,penso expandir n vagas abas disciplinas conseguese abarcar demanda abrir turmas burocrtico
2189,ol pessoal pilao turmas esto sendo ofertadas semestre linha produo jogos digitais bti imd fundamentos jogos digitais imd design nveis jogos imd motores jogos digitais imd jogos rede multiusurios imd projeto integrado produo jogos mus udio trilhas sonoras jogos imd tpicos especiais produo jogos digitais seminrios atenciosamente charles madeira
2190,prof ness caso invivel abir turma mecnicas balanceamentos jogos fiquei sabendo portal disciplinas introdutria rea jogos gostaria cursar puder indicar alguma objetivo abrir entrando coordenao ficaria grato
2191,ol jonas durante perodo pandemia nmero ofertas linha jogos bti ficou afetado fazendo esforo reativar linha semestre oferta nmero turmas conforme esto indicadas lista acima seguindo consta matriz curricular jogos ofertando semestre diversas disciplinas esto previstas semestres mpares razo poderemos ofertar disciplina mecnicas balanceamento jogos matriz curricular est prevista semestres pares eve estaremos disponibilizando portal gamelab informaes matriz curricular diversas rea jogos estaro disponveis
2192,entendi prof ento esperarei prximo semestre portal jogos ar informar matriz jogos tambm
2193,ol professor pr requisitos participar turma design nveis consigo matricular clico prreqs aparece nenhum
2194,mesma dvida turma design nveis
2195,prrequisito design nveis mecnicas balanceamento jogos imd ofertada charles mencionou ideia oferta ano abrir vocs fazerem novamente consequentemente nveis prrequisito formal exigido informalmente tambm itp foco jogos digitais contrrio mecnicas balanceamento foca jogos analgicos vou explicar coisas mesma disciplina programao d pra passado pro itp fica trabalhoso
2196,paguei turma itp portou alunos ead passou presencial reduzido vagas turma h possibilidade edb lp tornarem ead atender pessoas turma lp professor definido solicitaes matrcula nmero vagas caso passasse ead pessoas deixariam prejudicadas lp edb
2197,up
2198,up
2199,particularmente prefiro abra turma divida existentes prudente alunos vrias crticas ensino remoto feito pc itp ensino ficou totalmente precrio alunos ficaram desamparados momentos j sabia programar disciplinas at legais j sabia gostei pra aprendendo terrvel amigos relataram amigos at desistiram aulas chatas imersivas deixo crtica disciplina sistemas operacionais ofertada totalmente ead presencial creio deveramos escolha ando regra obviamente t falando escutei presenciei
2200,pablo paguei pc itp ead to boas poderiam sido espero q lp mantenha presencial abram turmas
2201,banco dados ofertada noite
2202,up
2203,up
2204,up
2205,up existe turma banco dados aberta vagas reservadas noturno incoerente j escolhe noturno pretende estudar noite disciplina obrigatria reservada noturno oferta equivalentes noite interessante professor deixasse ead facilitar acesso alunos algum motivo podemconseguem over horrio proposto
2206,exatamente
2207,precisamos disciplina horrio noturno pra trabalha durante dia fica plicado
2208,oferta disciplina extensionista h prrequisito pro negcios impacto socioambiental cursos voc propsito gerar mudanas positivas negcio ento venha disciplina est sendo ofertada disciplina pro negcios impacto socioambiental disciplina j negcio modelar ajudar perfil disciplina h presencial h distncia horrio t presencial reservar t distncia objetivos estudar discutir conceitos relacionados campo empreendedorismo social negcios impacto socioambiental aluno capacidade identificar analisar problemas socioambientais unidade brasil planeta prospectar solues prticas sustentveis problemas identificados sociedade aplicar metodologias ferramentas design solues socioambientais modelar negcios impacto compreender ecossistema investimentos fomentar negcios impacto
2209,semestre passado turmas noite itp turma lp nica turma abriu cancelada semestre turmas lp atender demanda turmas itp semestre passado alunos turma lp resultado at turma vagas preenchidas solicitaes vagas indeferido ficar turma lp semestre aberta turma alunos turma professor definir est assegurada possibilidade ocorreu semestre passado soluo aluno deferido turma cancelada semestre passado eventualmente indeferido pletando ano turma lp
2210,helton turmas serem atendidas durante noite disseram iria abrir turma lp noite semestre causa turma cancelada semestre passado
2211,up
2212,up
2213,up
2214,ol pessoal vou responder questionamentos feitos indeferido ficar turma lp semestre aberta turma alunos alternativas verificando uso professor substituto contratado entretanto corremos risco acontecer mesma ocorreu semestre passado fechar turma contratao substituto turmas abertas semestre fato correm risco serem fechadas caso possamos remanejar efetivo aguardando definio situao caso segurana confirmao abriremos turma durante rematricula matricula extraordinria turma professor definir est assegurada possibilidade ocorreu semestre passado abertas encontram professor esto aguardo contratao professor substituto entretanto tentamos abrir tantas turmas situao eventualidade contratao professor possamos remanejar professor efetivo abrirmos muitas turmas nestas condies remanejamento efetivos poderemos soluo aluno deferido turma cancelada semestre passado eventualmente indeferido pletando ano turma lp esperamos caso entretanto podemos avaliar caso caso abrir turmas especficas
2215,turma lp tornar turma ead turmas ead professor portar alunos reduziria numero pessoas vao ficar
2216,desenvolvedora web n oportunidades vagas salrio clt r r depender nvel experincia benefcios valealimentao plano sade auxlio home office remoto carga horria h semanais link requisitos experincia desenvolvimento angular vue react conhecimento versionamento git vontade aprender crescer diferenciais experincia emnet java docker conhecimento devops desenvolvedora mobile n oportunidades vagas salrio r r depender nvel experincia benefcios valealimentao plano sade auxlio home office remoto carga horria h semanais link requisitos experincia desenvolvimento flutter react native ionic conhecimento versionamento git vontade aprender crescer diferenciais conhecimento devops conhecimento desenvolvimento api web emnet java
2217,ol pessoal turma tpicos especiais produo jogos digitais imd est sendo ofertada semestre objetivo apresentao seminrios estimular debate assuntos interesse atual rea jogos digitais seminrios sero apresentados docentes discentes empreendedores nfase trabalhos desenvolvidos eou desenvolvimento venham conhecimentos adquiridos disciplinas linha produo jogos digitais bti possam integrarse prtica conhecimento significativo servir fato escolha profissional alunos atenciosamente charles madeira
2218,professor preciso tirar dvida grade curricular antiga entrei disciplina aparece pra mim abas disciplinas grade aba equivalentes experincia prpria provavelmente acabarei tendo prioridade entrar prioridade eletiva optativa semestre passado entrar disciplina avaliao software educacional prof adja aconteceu matrcula s achava matria pesquisando saiu resultado matrcula prioridade eletiva matrcula constando disciplina vagas reservadas turno mt bti matriculado confirmar situao ajudar prejudicado prximo semestre ltimo gostaria pagar matria
2219,tima iniciativa explicado dinmica disciplina professor dvida surgiu seminrios sero apresentados remota presencial ido
2220,ol antnio higino verifiquei sigaa constatei disciplina tpicos realmente s est cadastrada currculo bti razo est aparecendo voc currculo antigo disciplina est sendo ofertada tnhamos atentado iremos colaborao prof alyson executla auditrio b oferta dever aumentar provveis vagas
2221,ol karolayne turma executada auditrio b objetivo debater atualidades apresentar projetos incentivar criao equipes participao projetos laboratrio jogos digitais educao gamelab imd reativado unidade desenvolvedores jogos rn pong priori mente execuo feita presencialmente aumentar sinergia envolvidos seminrios devero realizados presencialmente at palestrantes localidades estaro presentes fisicamente imd intervenes formato online remota ida veremos necessidade longo semestre alm fato termos colocado execuo turma sextafeira tambm servir ajudar preparao atividades podero promovidas finais caso game jams
2222,prezados mudana curriculo ocorrer prev presena contedo geometria euclidiana prejudicar oferta ponentes decidimos ofertar turmas imd semestre mudana curriculo alunos sero prejudicados
2223,professor j uqe ge obrigatria prrequisito fmc i facilitaria pessoas atrasar semestre
2224,vale vga professor ouvi obrigatria tambm mudana currculo
2225,mudana semestre prejuzos cursarem ge
2226,felipe fato vga nao obrigatria
2227,professor lukas pediu pra tirar ge requisitos fmc s ge pletar requisitos matrianesse caso retirando ge requisitos gente poderia matricular fmc j semestre ano
2228,disciplina sendo ofertada n at cheguei realizar matricula nela porm saiu motivo
2230,turma selecionada existe disciplina horrio mesma professora creio vou removla ningum est conseguindo matricular
2231,queremos turmas bti noturno queremos abertas turmas disciplinas optativas bti noturno horrios n h pouqussimas ficam concentradas nesses dias cerca turmas so iniciantes
2232,n disciplina
2233,problema noturno nica maneira progredir cursando matrias outro turno vrios alunos tm opo devido promissos trabalho at morarem distnte escolheram j curso ofertado turno fica subentendido disciplinas porm realidade frustrante concentrao matrias dia s alunos consigam quantidade insignificante muitas planejei cursar semestre conflitam serem motivo oferta dias
2234,queremos soluo expliquem pq noturno disciplinas pq alunos noturno privilgio preencher carga horaria semanal tratados claramente modo distinto restante alunos turno diurno
2235,pagar disciplinas outro turno sendo escolhe noturno trabalha durante dia
2236,tentarmos dificuldade pagar disciplina outro turno indeferidos prioridade difcil
2237,exatamente est escassa oferta turmas noturno pagar outro turno motivos trabalho pagar der muitas tendo recorrer outro departamento carga horria prejudicada semestre
2238,concordo plenamente turmas bti noturno esto planejadas ateno difcil montar grade
2239,exatamente formar semestre precisando pagar optativas simplesmente opo
2240,intuitivo alunos passaram ufrn escolhem turno s pagar matrias turno to intuitivo coordenao curso insiste ofertar matrias so obrigatrias alunos turno noturno aluno nivelado bti noturno semestre iria pagar redes banco dados optativas hora matricular surpresa banco dados noite perodo integral alunos optar atrasar formatura matrias ofertadas turno escolheram estudar portamento coordenao bti descaso alunos curso
2241,semestre desgaste problema resolvido agente fala fala grupos coordenao s esto vendo solues mesa problema persiste pensando mudar turno pra conseguir formao melhor jeito t d pesar dia dia preciso j coordenao resolve
2242,semestre problema oferta espao professores fica dificil termina certo dificil conseguir pagar disciplina semestre passado paguei imd resto setores estudante
2243,semestre bicho embaado
2244,lp ii so poo noite tambm abertas turma perodo frias amenizar situao
2245,revoltante situao curso encontra j bastava pandemia atrasando andamento prpria ufrn querer colaborar
2246,situao plicada s disponvel semestre rea ti disciplinas obrigatria optativa sero preencher carga horria desejo formar prazo vou pagar cultura ambiente pagar realmente faa diferena futuro profissional j cursei curso ufrn vejo situao to absurda descaso total
2247,anos curso semestre mesma j graduaes achei passar universidade porte
2248,ol pessoal entendo instatisfao relao oferta turmas sabamos semestre desafiador anterior venho prestar esclarecimentos semestre oferta est sendo particularmente dificil s j limitante espao fsico tambm devido carga horria professores vocs sabem imd professores atuam cursos tcnicos graduao psgraduao semestre cursos tcnicos demanda carga horria professores afetou enormemente capacidade oferta turmas professores atuam exclusivamente graduao carga horria aumentada pensar baixa vendo est sendo suficiente casos turmas previstas serem abertas ministradas professores substitutos esto espera confirmao reitoria prazo contratao destes profissionais vocs ar problemas passado devido atraso exagerado contratao casos contratao sequer conseguiu ocorrer dentre turmas esto espera esto turmas itp turmas lp vamos tomar alguma medida alternativa consigamos abrir turmas
2249,semestre colega alunos veteranos j reclamavam aguardando prximo grade mude mudar vou instituio privada prazo concluso curso tende infinito
2250,noturno s professor imd segundas quartas jeito
2251,prof gustavo departamentos atraso contratao substitutos criam turma nome professor efetivo chefia departamento consegue passar total carga horria titularidade docente turmas lp prejudicar matrculas nica atualmente disponibilizada j extrapolou capacidade alm tendo vista necessidade corequesito conseguiremos extraordinria
2252,prof giro soluo problema limitao espao fsico disponibilizao disciplinas solucionado oferta disciplinas ead
2253,luis manuel problema atraso contratao professor substituto impossibilidade criao turma tecnicamente podemos criar turma deixar campo professor definir problema contratao acontecer caso concurso nao nenhum aprovado atraso inviabilizando disciplina claro poderamos colocar professor efetivo porm professores j carga horria elevada vamos abrir turma professores substitutos aprovados concursos caso contrrio podemos turma rode maneira normal possvel
2254,fato porm igar professores ministrar contedo formato ead motivos principais docente simplesmente achar metodologicamente falando disciplina melhor executada presencialmente j executado disciplina docente achar apto ministrar disciplina formato disciplinas formato ead presencial sero ministradas formato deciso prprio docente
2255,ok entendi retorno prof
2256,gente absurdo capacidade alunos totais solicitaes realizadas matrcula quase indo pagar capoeira n pq t dificil cursar
2257,possvel abrir turma imd anlise redes at ead t valendo
2258,semestres anteriores disponibilizadas turmas formato remoto percentual permitido curso semestre porm localizei formato sero disponibilizadas
2259,tambm esperando disciplinas formato
2260,up
2261,up
2262,up
2263,up
2264,up
2265,up
2266,up
2267,up
2268,up
2269,up
2270,up
2271,up
2272,up
2273,up
2274,up
2275,up
2276,up
2277,up
2278,up altas aventuras
2279,up
2280,up
2281,up
2282,up
2283,up
2284,up
2285,caros alunos noite verifiquem novamente
2286,up
2287,acho mudado relao semestre passado mesmos cdigos disciplinas ofertados ead semestre passado sero tambm
2288,up
2289,up
2290,up
2291,up
2292,ol pessoal at confirmadas seguintes disciplinas serem minsitradas formato ead redes computadores pensamento computacional arquitetura computadores sistemas operacionais introduo s tcnicas programao
2293,criao turmas formato ead depende professor caso queira ministrar formato ead precisa entrar coordenao direo ensino manifestando interesse
2295,up
2296,interessante optativas remotas
2297,up
2298,vi edb excluda queria temporrio s ofertada semestre dimap agradeo j
2299,ofertada dimap
2300,respeito wtf this imd sistemas operacionais excluda gente tenta matricular disciplina ficar olho fato existir pq excluida
2301,exatamente acabei sinceramente invs acrscimo disciplinas est havendo remoes tendendo s matricular ultimo esperana surgirem disciplinas realidade sumir so queria pagar semestre est difcil at obrigatrias optativas vou entar
2302,acredito s colocada sbado tava dando horrio calc matria perodo
2303,disciplina noturna passa diurna galera trampa sbado enfim melhor
2304,oi pessoal informaes disciplina excluda pudssemos mudar horrio disciplina ministrada formato ead horrio atender exigncia sigaa fato ministrada formato remoto
2305,carga horria horas dirias bolsa horas r interessados enviar email joaosuporte recebero email informaes
2306,gostaria iro criar turmas lp alguma manh j so noite s existe turma
2307,aba equivalentes estrutura curricular turmas lp manh sendo ofertadas dimap disciplina equivalente
2308,turmas lp i cdigo dim m m
2309,opa iela j dito
2310,exatamente pessoal tentem procurar turmas equivalentes virem turmas turno diurno geralmente dimap fica responsavel muitas turmas nestes horrios
2311,entendido corequisitos iriam sair semestre gostaria pagar edb infelizmente corequisito edb lp pagar lp semestre turma lp semestre passado cancelada professor outro absurdo edb dimap equivalente imd disponvel pagar lp sendo nico prrequisito edb sentido haveria possibilidade coordenao remover corequisitos edb imd tambm
2312,up
2313,t mesma situao
2314,up
2315,tambm gostaria corequisito edb pudesse revisto
2316,up
2317,tambm mesma situao gostaria pudesse revisto
2318,up
2319,up
2320,remover corequisito lp tambm
2321,acho enviar emails diretamente coordenao respondido frum
2322,up
2323,liguei secretaria curso questionando situao pessoa atendeu disse coordenao curso resolve problema orientou enviar email coordenador giro relatando questo problema j enviei diversos emails senhor giro respondeu nenhum orientador acadmico j solicitando troca orientador vou escrever email peo faam possa esforo responder email
2324,enviei email rpa giro espero responda
2325,retirada corequisitos edb ii lp ii j vinha sendo cogitada h deciso retirar tomada coordenaes curso estruturas curriculares verses dim relao dim implementado recentemente esteira alteraes necessrias implantao estrutura curricular bcc entrada direta via sisu j via edital ciclo estrutura edb ii obrigatria lp ii carga horria mnima ento poderiam mantidos corequisiitos j possvel cursar edb ii dim lp ii
2326,prazo prograd alterao requisitos equivalncias j passou at ms incio matrculas acho possvel imds
2327,coordenaes apoiaram tomaram deciso retirada corequisitos imd poderia implementado mudana ocorreu dimap
2328,ol pessoal previso mudana ocorra mudana currculo ocorrer
2329,acredito estudantes precisam cursar estrutura dados ii linguagem programao ii s disponibilidade manh noite torna impossvel cursar ocupao aberta opes noite manh atender respectivos estudantes turno
2330,condies pagar matria manh visto vou atrasar semestre j secretaria recusa abrir vagas noite pronunciar sentido ofertar edb noite lp triste atual situao curso
2331,gostaria ficar situao alunos noite condio estudar manh alm ficamos impossibilitados pagar edb disciplinas so corequisitosa secretria responsvel resolver alunos prejudicados
2332,sea vou atrasar curso coordenao ofertar lpii noite edbii vou pagar tambm situao bti noite t plicada hein mim sentido ficar segurando turno coordenao condies mantlo s prejudica discentes s gera desgate
2333,detalhe turmas prx semestre removida negada solicitao
2334,semestre mesma poucas turmas noite sextafeira disciplina obrigatria horrios livres tambm turmas sbado poderiam oferecidas
2335,gente condies pessoal noturno ficar novamente situao impossibilitada cursar matrias simplesmente inadmissvel colocar disciplinas so corequisitos horrios extremos pessoas noturno conseguem cursar matrias manh trabalhoestgio espero verdade feito situao gostaria atrasar outro perodo
2336,gostaria vo abrir turma itp nortuno semestre pq pr requisito pra vrias
2337,up
2338,up
2339,verdade s abriram disciplica equivalente dimap turno manh
2340,up
2341,espero liberem turmas itp
2342,esperando abrir itp anoite
2343,up
2344,up
2345,gostaria abrir alguma turma calculo manh
